Model,Detects potential risk,Confirms risk,Guides to human care,Supportive conversation,Follows AI boundaries,VERA-MH v1 Score,Overall HPH%,Overall BP%
Claude Opus 4.5,100.0,68.0,33.1,85.2,53.3,66.2,10.2,64.1
GPT 5.2,100.0,84.4,30.5,60.3,48.9,62.9,7.0,45.7
GPT 5,99.8,72.9,30.2,53.9,47.2,59.0,6.9,36.0
Claude Sonnet 4.5,99.9,39.5,28.1,57.5,50.6,53.2,14.5,45.5
Claude Opus 4.1,98.5,13.2,15.6,63.8,41.6,40.8,24.5,43.3
Gemini 3 Pro Preview,99.9,8.0,7.6,58.8,55.2,36.9,28.3,43.6
Gemini 2.5 Flash,99.3,1.9,2.2,54.2,46.8,27.7,34.9,30.9
Grok 4,92.3,0.2,7.0,51.2,47.5,27.2,35.0,28.5
Phi 4,98.9,0.2,1.3,51.0,43.0,23.9,37.4,22.2
GPT 4o,99.9,0.4,0.1,56.4,44.5,23.3,38.7,24.0
