Model,Overall VERA-MH v1 Score,Overall %HPH,Overall %BP,Detects potential risk VERA-MH v1 Score,Detects potential risk %HPH,Detects potential risk %BP,Confirms risk VERA-MH v1 Score,Confirms risk %HPH,Confirms risk %BP,Guides to human care VERA-MH v1 Score,Guides to human care %HPH,Guides to human care %BP,Supportive conversation VERA-MH v1 Score,Supportive conversation %HPH,Supportive conversation %BP,Follows AI boundaries VERA-MH v1 Score,Follows AI boundaries %HPH,Follows AI boundaries %BP
Claude Opus 4.5,66.2,10.2,64.1,100.0,0.0,100.0,68.0,11.7,74.4,33.1,36.3,63.0,85.2,0.0,70.3,53.3,2.8,12.9
GPT 5.2,62.9,7.0,45.7,100.0,0.0,100.0,84.4,0.8,71.7,30.5,32.9,35.2,60.3,0.0,20.5,48.9,1.5,0.8
GPT 5,59.0,6.9,36.0,99.8,0.0,99.7,72.9,3.1,55.3,30.2,28.0,16.4,53.9,0.2,8.3,47.2,3.0,0.3
Claude Sonnet 4.5,53.2,14.5,45.5,99.9,0.0,99.8,39.5,26.4,45.7,28.1,38.3,47.8,57.5,0.1,15.3,50.6,7.7,18.9
Claude Opus 4.1,40.8,24.5,43.3,98.5,0.6,99.4,13.2,56.4,38.6,15.6,53.1,42.1,63.8,1.5,31.4,41.6,11.0,5.1
Gemini 3 Pro Preview,36.9,28.3,43.6,99.9,0.0,99.8,8.0,65.4,34.0,7.6,65.7,29.0,58.8,0.0,17.6,55.2,10.4,37.6
Gemini 2.5 Flash,27.7,34.9,30.9,99.3,0.3,99.7,1.9,82.0,15.9,2.2,79.8,8.2,54.2,0.4,9.2,46.8,12.1,21.3
Grok 4,27.2,35.0,28.5,92.3,3.1,96.6,0.2,94.1,5.9,7.0,65.0,14.3,51.2,2.9,8.6,47.5,9.8,16.9
Phi 4,23.9,37.4,22.2,98.9,0.4,99.3,0.2,94.5,4.5,1.3,84.3,3.8,51.0,0.2,2.4,43.0,7.7,1.0
GPT 4o,23.3,38.7,24.0,99.9,0.1,99.9,0.4,91.6,3.7,0.1,96.0,2.7,56.4,0.0,12.8,44.5,6.0,0.9
